index_zero_based,part_name,mesh,category,mass_kg,com_part_x_m,com_part_y_m,com_part_z_m,com_export_x_m,com_export_y_m,com_export_z_m,ixx_kg_m2,ixy_kg_m2,ixz_kg_m2,iyy_kg_m2,iyz_kg_m2,izz_kg_m2,mesh_volume_m3,density_estimate_kg_m3,assigned_material_name,tensor_physically_consistent,source_document_id
234,pem_m4_self_clinching_nut__300_ss_25,assets/pem_m4_self_clinching_nut__300_ss.stl,catalog_fasteners_and_hardware,0.0008355363884781723,0.0019670757575096427,-1.6173730124900373e-07,5.2308822207170976e-08,-0.2095519143297475,0.017149324803675373,0.04822322308567329,6.9682596864700805e-09,-1.9802899489392358e-13,-5.965832925689283e-14,4.099050647002325e-09,7.713958387517938e-14,4.0983762805777485e-09,1.0630266930926216e-07,7859.975614040126,,True,158ec13e4f19f56723423f84
235,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_13,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.2140551694993637,0.0245887014506387,0.08953961420870425,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
236,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_14,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.23833288574792003,0.024467254615463643,0.05965939090932391,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
237,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_15,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.24646252079049488,-0.02549733496185415,0.07770150187118773,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
238,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_16,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.22284501073253862,-0.025379190741785008,0.09511770870866,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
239,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_17,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.21363080742307156,-0.025333097615928245,0.05790039204363391,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
240,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_18,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.24264587281325056,-0.025478242563992108,0.06228558455339972,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
241,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_19,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.20542902180256153,-0.025292069007792295,0.07149990315026004,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
242,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_20,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.2290465318605178,-0.025410213227861436,0.05408369631278774,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
243,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_21,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.21125410290112462,0.024602713504736626,0.06246049255428988,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
