sample_index,pad_x_m,pad_y_m,pad_z_m,tibia_x_m,tibia_y_m,tibia_z_m,distance_to_silicone_surface_m,silicone_winding,classification,occupied_visual_indices,uncertain_visual_indices,aabb_hits,distance_lower_bound_to_other_cad_solids_m
170,0.1923977993428707,-0.002187499776482582,0.015293796663172543,-0.10904223943080538,0.1592384269913869,-0.016072922414511432,0.0025625000707805157,0.0,occupied,[2],[],1,0.0
176,0.19241500832140446,0.004187500104308128,0.015292497468180954,-0.1090493591333913,0.15925377669429047,-0.02244792319987509,0.0025625000707805157,6.6261555863823264e-18,occupied,[2],[],1,0.0
177,0.19241883978247643,-0.002187499776482582,0.013419715105555952,-0.10742739988685829,0.160189698577041,-0.016072874151443418,0.0025625000707805157,1.766974823035287e-17,occupied,[2],[],1,0.0
185,0.19243733026087284,0.0010000001639127731,0.015331386821344495,-0.10909435999583643,0.15925388515715264,-0.01926042552436119,0.005750000011175871,-3.754821498949985e-17,occupied,[2],[],1,0.0
193,0.19245965220034122,-0.002187499776482582,0.015370276174508035,-0.10913936085828156,0.15925399362001474,-0.016072927848847292,0.0025625000707805157,3.975693351829396e-17,occupied,[2],[],1,0.0
199,0.19247686117887497,0.004187500104308128,0.015368976979516447,-0.10914648056086748,0.1592693433229183,-0.02244792863421095,0.0025625000707805157,2.4295903816735198e-17,occupied,[2],[],1,0.0
211,0.19249918311834335,0.0010000001639127731,0.015407866332679987,-0.10919148142331263,0.15926945178578045,-0.01926043095869705,0.005750000011175871,-2.208718528794109e-18,occupied,[2],[],1,0.0
212,0.1925023477524519,0.004187500104308128,0.013345743645913899,-0.10740450128904502,0.1602987270713208,-0.022447876683178273,0.0025625000707805157,6.6261555863823264e-18,occupied,[2],[],1,0.0
226,0.19253486767411232,0.0010000001639127731,0.013251748401671648,-0.10733933388178357,0.16037383731689303,-0.019260376066502844,0.005750000011175871,-4.1965652047088066e-17,occupied,[2],[],1,0.0
227,0.19253871403634548,0.004187500104308128,0.015445456490851939,-0.10924360198834368,0.15928490995154615,-0.02244793406854681,0.0025625000707805157,2.6504622345529306e-17,occupied,[2],[],1,0.0
234,0.19256738759577274,-0.002187499776482582,0.013157753157429397,-0.10727416647452209,0.16044894756246525,-0.016072875449827412,0.0025625000707805157,6.6261555863823264e-18,occupied,[2],[],1,0.0
236,0.19257179833948612,-0.002187499776482582,0.015446802484802902,-0.10926156171998147,0.1593131542659272,-0.016072936063085144,0.0025625000707805157,-2.208718528794109e-17,occupied,[2],[],1,0.0
